C_perc,H_perc,N_perc,O_perc,S_perc
25.94,13.28,53.21,7.42,0.15
26.08,13.48,53.26,7.12,0.07
25.95,13.62,53.44,6.91,0.08
26.32,13.32,52.91,7.24,0.21
26.36,13.33,52.78,7.34,0.19
26.21,13.3,53.22,7.13,0.15
25.96,13.91,52.86,7.03,0.23
26.33,13.13,53.08,7.23,0.22
26.54,13.59,52.55,7.16,0.16
26.48,12.95,52.88,7.46,0.23
26.61,13.13,52.77,7.34,0.16
25.83,13.21,53.71,7.19,0.06
26.02,13.79,53.01,6.96,0.22
26.2,12.92,54.38,6.46,0.04
26.53,13.36,52.78,7.06,0.28
25.45,13.93,53.26,7.08,0.29
26.29,13.27,52.81,7.39,0.24
26.37,12.9,53.28,7.28,0.18
26.68,13.49,52.71,7.01,0.1
26.26,13.82,52.73,6.97,0.22
26.36,12.92,53.12,7.41,0.19
26.41,13.56,52.71,7.15,0.17
26.32,14.11,52.2,7.19,0.17
26.19,13.31,52.84,7.39,0.27
26.01,15.15,51.84,6.56,0.43
26.25,12.66,52.89,8.07,0.13
27.19,13.18,52.12,7.34,0.17
26.67,13.2,52.91,7.1,0.12
24.32,15.68,52.43,7.57,0.0
25.59,14.19,52.46,7.16,0.59
26.25,13.68,52.8,7.18,0.1
25.95,13.58,52.69,7.52,0.26
26.89,13.08,52.83,7.05,0.14
26.96,12.87,53.03,6.88,0.26
26.02,11.39,54.57,7.74,0.28
26.26,13.51,52.65,7.27,0.31
25.86,14.34,52.17,7.3,0.33
25.66,13.23,52.65,8.17,0.29
26.16,13.27,53.54,6.81,0.21
25.61,14.28,52.73,7.27,0.1
25.0,14.39,54.17,6.44,0.0
25.99,14.02,52.76,7.1,0.12
26.29,13.46,52.65,7.39,0.21
26.72,13.24,52.86,7.0,0.18
26.63,13.12,52.99,7.03,0.23
26.41,13.24,52.94,7.27,0.14
26.92,13.42,52.54,6.98,0.13
28.73,13.61,50.54,6.48,0.65
26.38,15.25,51.71,6.36,0.29
26.31,13.16,52.74,7.55,0.25
26.43,13.22,52.78,7.35,0.21
26.14,13.7,52.62,7.41,0.13
26.75,13.34,53.15,6.62,0.13
26.1,13.43,53.57,6.79,0.1
25.95,13.38,53.3,7.17,0.21
26.42,13.55,52.63,7.33,0.07
25.81,13.26,53.3,7.38,0.24
26.23,13.44,52.94,7.13,0.26
25.82,13.27,53.41,7.25,0.24
26.38,13.45,52.66,7.23,0.28
26.92,13.18,52.76,6.96,0.18
26.88,13.24,52.48,7.27,0.12
26.31,13.37,52.91,7.22,0.18
26.4,13.05,52.88,7.43,0.24
26.13,12.99,53.34,7.18,0.36
26.65,12.98,52.95,7.19,0.23
25.61,13.23,53.29,7.55,0.32
26.32,13.66,52.74,7.07,0.22
26.37,13.26,52.58,7.64,0.14
26.49,12.95,53.36,6.96,0.24
26.3,13.38,52.48,7.36,0.47
25.55,14.27,52.53,7.53,0.12
26.88,12.99,52.65,7.17,0.31
26.62,13.38,52.41,7.39,0.2
26.58,13.43,52.53,7.29,0.18
26.4,13.51,52.83,7.14,0.13
26.66,13.27,52.61,7.24,0.23
25.85,13.42,53.61,7.01,0.12
26.31,14.8,52.27,6.32,0.3
26.41,13.84,52.5,7.17,0.09
25.95,13.39,53.5,6.96,0.2
26.11,13.3,52.93,7.38,0.27
26.69,13.27,52.81,7.04,0.18
26.94,13.17,52.57,6.97,0.34
26.74,13.21,52.4,7.35,0.3
27.23,13.19,52.5,6.9,0.19
26.73,13.38,52.35,7.38,0.15
27.79,12.51,52.18,7.35,0.17
26.61,13.19,52.98,6.86,0.37
26.66,13.73,52.55,6.89,0.17
26.06,13.52,52.89,7.26,0.28
26.4,13.21,52.77,7.33,0.29
25.94,13.27,53.89,6.76,0.14
26.25,13.22,53.22,7.15,0.15
26.38,13.4,52.28,7.49,0.45
25.69,13.58,53.32,7.18,0.24
27.11,12.92,52.63,7.05,0.29
26.33,14.22,52.2,7.08,0.17
27.46,15.03,50.78,6.74,0.0
26.32,13.15,52.69,7.59,0.25
27.22,12.97,52.34,7.28,0.19
26.93,13.39,52.41,7.08,0.19
26.27,13.52,53.01,6.94,0.25
26.2,13.38,52.87,7.33,0.22
26.35,13.35,52.91,7.1,0.29
26.42,13.01,53.01,7.32,0.24
27.13,13.2,52.1,7.42,0.15
26.35,13.08,53.23,7.31,0.04
26.66,13.09,52.74,7.37,0.14
25.75,13.59,52.88,7.61,0.17
26.49,14.58,51.6,7.06,0.26
26.1,13.45,53.12,7.02,0.31
26.12,13.66,52.83,7.13,0.26
26.31,13.41,53.06,6.99,0.23
26.11,13.68,52.95,7.09,0.17
26.0,12.83,53.63,7.4,0.14
24.84,13.44,53.39,7.85,0.48
27.12,12.97,52.44,7.15,0.31
26.8,13.5,52.35,7.23,0.12
25.86,13.56,52.93,7.5,0.16
26.51,11.82,54.18,7.2,0.29
26.71,13.47,52.52,7.15,0.14
25.96,12.9,53.81,7.14,0.19
26.16,13.24,53.04,7.21,0.35
25.75,13.58,52.91,7.47,0.28
26.37,13.29,52.93,7.18,0.22
26.64,13.35,52.67,7.17,0.17
25.97,15.08,51.94,6.64,0.36
25.65,13.98,52.96,7.32,0.09
26.3,13.17,53.33,7.02,0.18
26.44,13.18,52.91,7.17,0.3
26.02,12.96,53.52,7.29,0.21
26.12,12.98,53.17,7.58,0.14
26.53,13.37,52.97,6.95,0.18
26.58,13.17,52.91,7.27,0.08
26.34,13.65,52.69,7.26,0.07
26.23,13.33,52.66,7.58,0.21
25.94,14.36,52.51,6.83,0.35
26.7,13.24,52.99,6.94,0.13
26.44,13.38,52.88,7.05,0.25
26.44,13.32,52.89,7.12,0.23
26.42,13.32,52.8,7.22,0.25
25.75,13.55,53.09,7.49,0.12
25.81,13.7,52.65,7.55,0.29
26.71,13.33,52.61,6.99,0.36
26.04,13.19,53.29,7.29,0.19
26.68,13.48,52.46,7.24,0.15
26.1,13.43,52.88,7.35,0.23
25.93,13.61,53.22,7.04,0.2
25.96,13.22,53.41,7.18,0.24
26.02,13.34,53.31,7.09,0.25
26.84,13.2,52.2,7.34,0.41
26.12,14.3,52.06,7.48,0.04
25.84,13.29,53.25,7.46,0.15
25.8,13.43,53.71,7.07,0.0
26.41,13.59,52.62,7.23,0.16
26.83,13.03,52.67,7.31,0.15
26.18,13.48,52.73,7.37,0.24
26.29,13.14,53.17,7.26,0.14
26.28,12.31,54.18,7.09,0.14
26.46,13.54,53.08,6.67,0.25
25.39,13.21,53.52,7.89,0.0
25.98,13.27,53.06,7.4,0.29
26.89,12.84,52.5,7.48,0.29
26.22,13.31,53.14,7.07,0.25
25.95,13.56,52.69,7.52,0.28
26.11,13.26,53.29,7.11,0.23
26.01,15.23,51.72,6.58,0.47
25.92,13.27,53.59,7.14,0.08
26.09,13.41,52.61,7.7,0.2
26.04,12.73,53.53,7.56,0.14
25.83,13.55,53.23,7.1,0.3
26.1,14.86,51.98,6.66,0.4
26.34,13.8,52.56,7.2,0.1
26.1,13.37,53.21,7.01,0.31
25.69,13.88,52.84,7.48,0.11
26.96,13.01,52.87,7.06,0.1
24.57,14.43,53.44,7.39,0.17
26.07,15.68,52.14,6.11,0.0
25.52,13.35,54.04,6.9,0.2
27.53,12.61,52.32,7.42,0.12
26.93,13.04,52.63,7.12,0.29
26.37,13.76,52.57,7.22,0.08
25.71,13.15,53.43,7.47,0.24
26.23,13.57,53.03,7.05,0.12
26.69,13.25,52.94,6.96,0.17
26.56,13.61,52.39,7.32,0.13
26.38,13.39,52.87,7.22,0.15
26.4,13.62,52.58,7.17,0.23
26.3,12.97,53.41,7.15,0.16
26.53,13.26,52.74,7.28,0.19
26.2,13.77,52.87,6.89,0.27
26.05,13.55,53.07,7.13,0.21
27.02,13.17,52.84,6.9,0.08
26.03,13.69,52.97,7.15,0.16
25.83,13.11,53.75,7.09,0.22
25.73,14.56,51.99,7.38,0.33
27.02,12.91,52.87,6.94,0.26
26.54,12.11,53.42,7.81,0.11
26.91,13.25,52.32,7.29,0.23
27.0,12.88,53.25,6.76,0.11
26.46,13.44,52.97,6.94,0.19
26.89,13.35,52.47,7.14,0.15
26.45,13.54,52.64,7.13,0.23
26.4,13.39,52.73,7.22,0.25
26.61,13.26,52.72,7.13,0.28
26.75,13.12,52.69,7.16,0.29
26.24,13.74,52.72,7.07,0.23
26.17,13.62,52.8,7.26,0.15
25.9,12.87,53.72,7.3,0.22
26.53,13.07,53.36,6.93,0.12
26.46,13.16,52.65,7.39,0.33
26.58,13.41,52.66,7.12,0.22
25.63,13.72,52.8,7.52,0.34
26.41,13.68,52.62,7.2,0.08
26.08,13.12,53.08,7.49,0.23
25.96,15.1,52.04,6.55,0.35
26.36,13.19,53.04,7.23,0.18
25.94,15.52,51.71,6.37,0.46
26.01,13.41,52.79,7.54,0.24
26.13,11.81,55.28,6.78,0.0
26.09,15.22,51.89,6.51,0.29
27.12,12.99,52.87,6.78,0.24
26.12,14.95,52.58,6.19,0.17
26.14,13.03,53.24,7.32,0.28
26.24,13.18,53.91,6.5,0.17
25.8,13.89,53.1,7.14,0.07
26.64,13.12,53.02,6.97,0.25
26.41,13.3,52.74,7.25,0.29
26.15,14.36,52.56,6.59,0.34
27.27,13.09,52.0,7.44,0.19
26.61,13.71,52.21,7.3,0.18
27.06,14.66,51.0,7.29,0.0
25.97,13.6,52.91,7.26,0.26
28.13,12.6,52.49,6.61,0.17
26.65,13.17,52.61,7.23,0.34
27.09,13.0,52.58,7.05,0.28
26.13,14.5,52.15,6.82,0.4
27.31,13.36,51.92,7.26,0.15
25.99,13.63,52.72,7.43,0.22
25.81,13.69,53.61,6.8,0.09
25.92,13.54,53.33,7.08,0.13
27.11,13.4,51.96,7.19,0.34
25.92,13.41,52.66,7.73,0.28
26.25,15.07,51.81,6.53,0.34
26.68,13.0,52.94,7.19,0.19
26.84,12.75,52.78,7.26,0.38
26.21,15.12,51.84,6.54,0.29
26.2,13.64,53.25,6.91,0.0
26.2,13.4,52.96,7.22,0.22
26.63,12.68,53.41,7.13,0.15
26.73,13.07,52.87,7.16,0.17
26.37,14.96,51.89,6.38,0.4
26.75,13.16,52.83,7.06,0.21
26.27,13.22,52.95,7.25,0.31
26.09,13.61,52.67,7.38,0.25
26.27,12.09,53.37,8.16,0.11
27.13,13.36,52.83,6.48,0.2
26.09,13.39,53.04,7.25,0.23
26.02,14.25,52.04,7.4,0.3
26.01,13.51,53.17,7.1,0.22
26.17,13.09,53.3,7.3,0.14
26.3,12.9,53.32,7.29,0.18
26.63,13.8,52.31,7.08,0.18
26.05,13.71,53.23,6.81,0.21
26.48,13.96,52.23,7.23,0.1
25.89,13.14,53.25,7.45,0.26
26.0,15.46,51.83,6.41,0.3
26.44,13.17,52.78,7.38,0.23
26.21,13.49,52.98,7.14,0.19
26.38,13.34,52.81,7.27,0.21
26.3,13.45,52.68,7.28,0.3
26.33,14.11,52.07,7.39,0.1
26.28,13.72,52.74,7.08,0.19
26.47,13.31,53.24,6.89,0.09
26.49,13.16,53.04,7.18,0.12
26.61,12.89,52.75,7.47,0.27
26.51,13.23,52.62,7.39,0.24
26.22,13.77,52.67,7.23,0.11
25.96,13.66,52.84,7.25,0.29
26.3,13.19,53.04,7.26,0.21
27.93,12.52,52.04,7.32,0.19
26.72,13.18,52.49,7.37,0.24
24.23,18.04,51.03,6.7,0.0
27.0,12.92,52.63,7.12,0.33
26.15,13.38,52.75,7.46,0.27
26.16,13.93,52.88,6.91,0.12
26.56,12.74,53.31,7.19,0.19
27.02,13.29,52.47,6.92,0.29
26.3,13.02,52.98,7.47,0.24
25.96,13.07,53.36,7.59,0.03
27.78,12.13,52.55,7.27,0.27
26.12,13.31,53.87,6.6,0.1
26.36,13.32,53.15,6.98,0.19
26.21,13.45,52.95,7.22,0.17
25.87,13.47,53.06,7.49,0.11
26.38,13.91,52.4,6.95,0.36
26.25,13.12,53.27,7.15,0.21
26.02,13.29,53.29,7.29,0.12
26.16,13.43,53.51,6.8,0.1
25.61,13.48,53.55,7.13,0.23
26.34,14.52,52.01,6.93,0.2
25.7,14.5,52.64,6.8,0.35
26.53,13.44,52.67,7.19,0.16
26.1,12.75,53.35,7.74,0.05
26.25,11.88,54.4,7.33,0.15
27.03,13.08,52.75,6.88,0.27
25.56,13.17,53.35,7.72,0.2
27.22,13.34,52.04,7.13,0.27
25.63,13.85,53.12,7.24,0.15
26.64,13.1,52.81,7.24,0.21
26.99,13.22,52.5,7.18,0.11
26.77,13.0,52.78,7.23,0.23
26.84,13.24,52.61,7.16,0.15
26.79,12.92,53.1,7.05,0.15
25.66,13.15,53.53,7.36,0.3
26.22,13.3,52.9,7.35,0.23
25.79,13.7,53.45,7.0,0.06
26.17,13.37,52.94,7.18,0.34
26.87,13.04,52.59,7.21,0.28
26.93,13.33,52.61,7.02,0.11
26.97,13.23,52.34,7.32,0.15
25.7,13.13,53.5,7.64,0.03
26.45,13.28,53.02,7.03,0.21
26.47,13.52,52.55,7.2,0.26
26.81,12.99,53.04,6.8,0.36
25.55,13.64,53.43,7.11,0.26
26.74,13.06,52.75,7.22,0.24
25.81,13.53,53.27,7.23,0.16
26.25,12.71,53.73,7.11,0.2
25.96,13.41,53.35,7.06,0.22
26.0,13.71,52.83,7.26,0.21
27.28,13.06,52.47,6.82,0.37
25.74,14.59,52.61,6.71,0.35
27.46,11.97,53.21,7.25,0.1
26.87,13.21,52.41,7.15,0.36
26.46,13.2,52.81,7.24,0.29
25.98,13.12,53.76,7.03,0.11
26.77,13.07,52.98,7.0,0.18
27.28,13.22,52.0,7.28,0.23
25.67,13.74,52.92,7.41,0.27
25.95,13.38,53.19,7.28,0.21
25.83,12.81,54.29,6.98,0.09
26.46,13.5,52.55,7.31,0.17
26.47,13.38,52.96,6.97,0.22
25.93,13.14,53.87,6.88,0.18
26.46,13.32,52.52,7.41,0.29
26.28,13.52,52.62,7.32,0.25
26.18,13.45,52.71,7.37,0.28
26.56,13.09,53.15,7.08,0.12
26.07,13.36,52.74,7.56,0.27
25.8,13.74,53.1,7.17,0.2
25.96,13.49,52.9,7.4,0.25
27.11,13.17,52.73,6.8,0.19
26.28,13.2,53.51,6.89,0.12
26.4,13.22,52.72,7.36,0.3
26.22,14.85,51.93,6.71,0.28
26.52,13.12,53.13,7.14,0.09
26.52,13.28,52.56,7.49,0.15
26.13,12.97,53.52,7.15,0.23
26.38,14.02,52.3,7.19,0.11
26.65,13.24,52.87,7.03,0.21
25.99,13.37,53.28,7.19,0.16
26.01,13.45,53.11,7.26,0.17
26.61,13.18,52.95,7.12,0.13
27.44,13.09,52.37,6.99,0.11
27.07,12.94,52.8,6.98,0.21
27.09,12.86,52.57,7.16,0.33
26.89,13.21,52.6,7.06,0.24
26.34,13.17,52.8,7.51,0.17
26.17,12.67,53.5,7.67,0.0
26.81,13.16,52.92,6.91,0.2
29.43,12.83,50.94,6.79,0.0
27.39,12.46,52.64,7.29,0.22
26.48,13.24,52.46,7.59,0.24
26.35,13.44,52.63,7.26,0.32
26.65,13.44,52.43,7.27,0.22
26.07,13.58,53.26,6.99,0.1
27.07,13.12,52.17,7.41,0.23
24.94,13.56,54.72,6.78,0.0
26.76,13.22,52.95,6.9,0.17
26.3,13.11,53.7,6.82,0.08
25.93,14.77,52.64,6.42,0.24
26.12,13.52,52.95,7.23,0.18
26.64,13.22,52.83,7.12,0.19
25.59,13.46,53.31,7.4,0.23
26.94,13.28,52.55,7.04,0.19
25.92,13.35,53.63,6.93,0.17
25.92,13.38,53.14,7.26,0.3
25.91,13.22,53.18,7.57,0.11
25.99,13.58,53.02,7.21,0.19
26.66,13.48,52.44,7.35,0.07
25.93,12.77,53.64,7.49,0.16
26.26,13.59,52.81,7.14,0.2
26.74,13.1,52.64,7.28,0.24
27.02,13.29,52.1,7.35,0.23
25.81,13.41,53.64,7.06,0.09
27.21,13.32,51.99,7.27,0.2
26.49,13.18,52.87,7.3,0.17
26.17,13.36,52.68,7.58,0.21
26.21,13.5,52.7,7.36,0.24
26.63,13.56,52.84,6.84,0.13
26.75,13.2,52.49,7.32,0.25
25.98,13.71,52.83,7.4,0.08
25.9,13.59,53.07,7.34,0.1
26.67,13.12,52.75,7.26,0.22
25.96,13.39,52.42,7.76,0.47
26.32,13.28,52.82,7.36,0.22
27.75,12.28,52.59,7.16,0.21
26.09,13.36,52.94,7.36,0.25
26.4,13.32,52.94,7.21,0.13
27.25,13.41,51.83,7.16,0.34
26.48,13.05,53.32,7.04,0.12
27.26,13.14,52.45,7.04,0.11
25.92,13.74,53.16,7.0,0.18
26.18,13.25,53.11,7.26,0.2
26.58,13.36,52.92,6.92,0.22
25.87,15.2,51.97,6.54,0.41
26.52,13.32,52.56,7.38,0.21
27.64,12.61,52.19,7.37,0.18
26.84,13.11,52.07,7.54,0.43
25.98,15.16,52.08,6.48,0.3
25.79,13.58,53.09,7.22,0.32
25.76,14.59,52.52,6.85,0.27
25.62,13.56,53.53,7.11,0.18
25.97,13.08,53.69,7.06,0.2
25.96,13.49,53.2,7.06,0.29
25.78,13.5,53.0,7.4,0.32
26.19,13.37,52.89,7.33,0.22
26.21,13.3,52.9,7.39,0.2
26.69,13.34,52.58,7.23,0.16
27.2,12.68,52.59,7.12,0.41
26.4,13.35,52.75,7.25,0.25
25.33,13.91,53.47,7.01,0.27
26.73,12.99,52.8,7.33,0.15
26.48,13.43,52.46,7.47,0.15
25.83,13.05,54.06,6.86,0.2
26.17,13.56,52.84,7.36,0.07
25.71,12.97,53.57,7.56,0.2
25.56,13.91,53.43,6.97,0.13
25.66,12.71,53.71,7.7,0.21
25.89,13.06,53.02,7.82,0.21
26.54,13.41,52.9,6.94,0.21
25.55,12.81,53.45,7.98,0.2
27.12,13.18,52.59,6.99,0.12
26.79,13.05,53.34,6.58,0.25
25.83,14.49,52.07,7.28,0.33
26.63,13.12,52.78,7.24,0.23
26.66,12.86,52.62,7.61,0.25
25.54,12.66,54.31,7.27,0.23
25.77,12.4,54.01,7.6,0.22
26.28,13.34,52.83,7.33,0.22
26.04,14.48,51.87,7.48,0.12
26.14,13.3,52.99,7.33,0.24
26.15,13.54,53.01,7.13,0.17
27.21,12.89,52.81,6.95,0.13
26.26,14.09,52.63,6.91,0.12
27.51,12.9,52.26,7.25,0.09
26.25,13.39,52.87,7.25,0.24
26.29,13.45,52.77,7.28,0.22
25.93,13.44,53.12,7.34,0.18
26.62,13.06,52.85,7.13,0.34
26.11,13.65,53.32,6.76,0.16
25.77,13.2,53.63,7.18,0.23
25.59,13.61,53.45,7.23,0.12
26.52,12.85,52.86,7.57,0.2
25.85,13.77,52.66,7.47,0.25
25.99,13.49,53.15,7.19,0.19
28.27,12.57,52.36,6.28,0.52
26.58,13.19,52.9,7.04,0.28
26.64,13.44,52.58,7.15,0.2
26.33,13.31,52.94,7.23,0.18
27.13,12.52,52.96,7.19,0.2
27.0,12.32,53.94,6.69,0.06
26.48,13.28,52.91,7.09,0.25
26.19,12.94,53.51,7.24,0.12
26.51,13.37,52.4,7.22,0.49
27.53,12.56,52.34,7.44,0.14
26.34,13.11,53.05,7.31,0.19
25.76,13.52,53.8,6.86,0.06
26.77,13.25,53.01,6.84,0.13
26.22,13.46,52.81,7.35,0.16
26.38,13.18,52.65,7.56,0.23
25.76,14.08,52.73,7.32,0.11
26.46,13.15,53.16,7.11,0.12
26.92,13.08,52.58,7.28,0.15
25.76,13.1,53.27,7.65,0.22
25.28,13.42,53.35,7.41,0.54
26.15,13.41,52.86,7.32,0.25
26.39,13.26,52.91,7.27,0.18
25.76,13.65,52.67,7.63,0.3
26.38,12.78,54.17,6.5,0.17
25.59,13.06,53.37,7.8,0.19
26.57,13.52,52.79,7.0,0.12
26.66,13.34,52.7,7.16,0.14
26.32,14.42,52.29,6.68,0.29
26.55,13.39,52.68,7.09,0.29
25.81,13.7,52.73,7.57,0.2
25.83,12.23,53.7,7.98,0.26
26.05,13.38,53.09,7.28,0.19
26.32,13.36,52.88,7.3,0.13
25.8,13.09,53.46,7.39,0.26
26.88,13.57,51.93,7.05,0.57
27.05,13.0,52.7,6.91,0.35
26.82,13.28,52.64,7.11,0.16
25.47,13.49,53.58,7.31,0.15
26.29,13.52,52.69,7.25,0.25
26.62,13.05,52.79,7.47,0.08
26.46,12.98,52.85,7.45,0.27
26.14,13.41,52.99,7.21,0.25
26.48,13.37,52.43,7.5,0.23
24.79,17.95,50.0,7.26,0.0
26.56,13.2,52.96,7.09,0.18
25.66,13.73,53.5,6.96,0.14
27.36,13.01,52.44,6.97,0.22
25.98,14.43,52.14,7.37,0.08
27.31,12.92,52.55,7.07,0.15
25.91,13.64,53.24,7.01,0.21
26.23,13.29,52.79,7.45,0.24
26.03,13.13,53.55,7.27,0.03
26.67,13.15,52.6,7.32,0.26
27.19,13.04,52.23,7.15,0.39
26.95,12.9,52.87,6.99,0.29
26.93,13.29,52.3,7.24,0.24
27.94,11.43,54.13,6.35,0.16
26.85,13.4,52.52,7.08,0.15
25.5,13.76,53.63,7.04,0.08
26.19,13.82,52.71,7.01,0.27
26.03,13.38,53.29,7.19,0.11
27.09,13.0,52.55,7.04,0.32
26.32,12.69,53.6,7.28,0.11
26.51,13.33,52.87,7.04,0.25
26.19,13.46,53.19,7.02,0.14
27.89,13.02,51.72,7.12,0.25
25.96,13.16,53.25,7.54,0.09
26.56,13.55,52.64,7.09,0.16
25.94,13.37,53.27,7.27,0.15
25.99,14.45,52.44,6.87,0.25
25.6,13.88,51.67,8.61,0.24
26.61,13.16,52.78,7.27,0.19
26.83,11.66,54.49,6.46,0.56
26.08,14.43,52.17,7.12,0.19
26.71,13.08,53.26,6.77,0.18
27.15,13.16,52.39,7.19,0.11
26.11,13.66,52.84,7.21,0.19
25.64,13.27,53.41,7.42,0.26
25.79,14.08,52.76,7.27,0.11
25.98,13.5,52.94,7.31,0.27
26.22,13.48,52.95,7.14,0.21
26.61,13.28,52.68,7.22,0.22
26.59,13.22,52.86,7.1,0.23
26.1,13.0,53.1,7.54,0.25
26.31,12.85,53.65,7.08,0.12
26.65,13.28,52.5,7.18,0.39
26.83,13.22,52.19,7.6,0.15
26.87,12.97,52.55,7.43,0.18
27.05,13.23,51.99,7.53,0.21
25.59,14.04,52.56,7.65,0.15
26.69,13.02,52.92,7.19,0.17
25.64,13.43,53.62,7.15,0.16
26.37,13.16,53.2,6.93,0.34
25.69,13.7,52.91,7.6,0.1
26.4,13.45,52.27,7.48,0.4
25.43,14.09,52.43,7.77,0.27
25.92,12.42,52.93,8.5,0.23
26.41,13.17,53.11,7.17,0.15
27.04,12.9,52.52,7.42,0.12
25.83,13.02,53.26,7.6,0.28
25.95,13.18,53.58,7.17,0.12
26.68,13.13,52.99,7.0,0.19
25.99,14.27,51.99,7.65,0.1
26.26,13.22,53.31,7.06,0.16
26.41,13.04,52.1,8.05,0.39
26.65,12.83,53.08,7.26,0.19
27.45,12.94,52.63,6.78,0.21
25.85,13.38,53.32,7.23,0.22
26.55,13.42,52.77,7.07,0.19
26.3,14.23,52.48,6.9,0.08
26.08,13.13,53.34,7.18,0.27
26.05,13.59,53.03,7.16,0.16
27.05,12.8,52.82,7.17,0.17
